       Time_s           01           02           03           04           05
   4.7000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7367E+00   3.4739E+04
   4.7500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7473E+00   3.4952E+04
   4.8000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7584E+00   3.5174E+04
   4.8500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7698E+00   3.5401E+04
   4.9000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7813E+00   3.5632E+04
   4.9500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.7930E+00   3.5865E+04
   5.0000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8047E+00   3.6101E+04
   5.0500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8166E+00   3.6338E+04
   5.1000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8286E+00   3.6578E+04
   5.1500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8406E+00   3.6818E+04
   5.2000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8527E+00   3.7060E+04
   5.2500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8649E+00   3.7304E+04
   5.3000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8771E+00   3.7549E+04
   5.3500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.8894E+00   3.7795E+04
   5.4000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.9018E+00   3.8043E+04
   5.4500E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.9143E+00   3.8292E+04
   5.5000E-07   8.0000E+01   3.0000E+02   1.5184E+04   1.9268E+00   3.8543E+04
   5.5500E-07   8.0000E+01   3.0000E+02   1.5206E+04   1.9397E+00   3.8800E+04
   5.6000E-07   8.0000E+01   3.0000E+02   1.5206E+04   1.9518E+00   3.9044E+04
   5.6500E-07   8.0000E+01   3.0000E+02   1.5206E+04   1.9643E+00   3.9294E+04
   5.7000E-07   8.0000E+01   3.0000E+02   1.5206E+04   1.9770E+00   3.9548E+04
   5.7500E-07   8.0000E+01   3.0000E+02   1.5206E+04   1.9899E+00   3.9805E+04
   5.8000E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0028E+00   4.0064E+04
   5.8500E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0159E+00   4.0325E+04
   5.9000E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0290E+00   4.0588E+04
   5.9500E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0423E+00   4.0853E+04
   6.0000E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0556E+00   4.1119E+04
